starelid,staop1,staop2,staop3,staop4,staop5,stakind1,stakind2,stakind3,stakind4,stakind5,stawidth,staattnum,stainherit,stavalues1,stavalues2,stavalues3,stavalues4,stavalues5,stadistinct,stanullfrac,stanumbers1,stanumbers2,stanumbers3,stanumbers4,stanumbers5
1249,607,609,609,0,0,1,2,3,0,0,4,1,false,"{12925,12877,1259,1247,1255,2606,2619,12907,12841,1249,13012,13036,2600,12896,2610,2620,11688,11696,11703,2617,1262,11750,11754,11771,1260,11668,12994,2602,2612,2616,3381,3456,6100,11645,1136,1417,2224,2607,2618,3079,3256,3350,3601,6104,11637,11758,1214,2328,2608,3466,11595,12936,12946,2603,2605,3541,3600,11767,12932,12982,826,1213,2604,2753,3394,3576,3596,3602,3764,11633,11692,11700,11707,11710,11714,11717,11788,11791,12941,12951,12956,12966,16385,1261,1418,2601,2609,2615,3501,3592,3603,6102,12918,12922,12961,12971,13028,2336,2396,2611}","{112,827,2337,2613,2653,2656,2663,2668,2673,2678,2685,2690,2695,2702,2830,2831,2833,2834,2836,2838,2840,2846,2964,2965,2967,2995,3118,3258,3439,3455,3574,3598,3599,3609,4060,5002,6001,6106,6117,11599,11606,11609,11621,11625,11641,11651,11654,11661,11673,11676,11682,11720,11724,11727,11734,11737,11744,11761,11764,11774,11781,11785,11799,12845,12849,12857,12865,12869,12873,12885,12889,12903,12911,12915,12929,12938,12943,12948,12953,12958,12963,12965,12968,12975,12986,12990,12998,13005,13009,13016,13024,13032,13044,13050,13056,13060,13066,13070,13076,13084,16391}",NULL,NULL,NULL,-0.132032,0,"{0.0313816,0.0168389,0.0153081,0.01416,0.0133946,0.0122465,0.0122465,0.0122465,0.0118638,0.0114811,0.0110984,0.0110984,0.0107157,0.010333,0.00995025,0.00918484,0.00841944,0.00841944,0.00841944,0.00803674,0.00765404,0.00765404,0.00727134,0.00727134,0.00688863,0.00650593,0.00650593,0.00574053,0.00574053,0.00574053,0.00574053,0.00574053,0.00574053,0.00574053,0.00535783,0.00535783,0.00535783,0.00535783,0.00535783,0.00535783,0.00535783,0.00535783,0.00535783,0.00535783,0.00535783,0.00535783,0.00497512,0.00497512,0.00497512,0.00497512,0.00497512,0.00497512,0.00497512,0.00459242,0.00459242,0.00459242,0.00459242,0.00459242,0.00459242,0.00459242,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00382702,0.00382702,0.00382702,0.00382702,0.00382702,0.00382702,0.00382702,0.00382702,0.00382702,0.00382702,0.00382702,0.00382702,0.00382702,0.00382702,0.00344432,0.00344432,0.00344432}",NULL,{0.940866},NULL,NULL
1249,93,660,660,0,0,1,2,3,0,0,64,2,false,"{xmin,cmax,cmin,ctid,tableoid,xmax,oid,chunk_id,chunk_seq,schemaname,relname,relid,chunk_data,table_catalog,table_name,table_schema,grantee,is_grantable,objsubid,classoid,grantor,objoid,udt_catalog,udt_name,udt_schema,privilege_type,character_set_catalog,character_set_name,character_set_schema,collation_catalog,collation_name,collation_schema,column_name,data_type,idx_scan,idx_tup_fetch,name,authorization_identifier,constraint_catalog,constraint_name,constraint_schema,foreign_server_catalog,foreign_server_name,indexrelid,numeric_precision,numeric_precision_radix,numeric_scale,character_maximum_length,character_octet_length,datetime_precision,dtd_identifier,interval_precision,interval_type,pid,specific_catalog,specific_name,specific_schema,comments,datname,idx_blks_hit,idx_blks_read,indexrelname,maximum_cardinality,n_tup_del,n_tup_hot_upd,n_tup_ins,n_tup_upd,scope_catalog,scope_name,scope_schema,seq_scan,seq_tup_read,tablename,classid,conname,connamespace,domain_catalog,domain_name,domain_schema,foreign_data_wrapper_catalog,foreign_data_wrapper_name,objid,option_name,option_value,provider,usename,attname,blks_hit,blks_read,database,datid,object_catalog,object_name,object_schema,object_type,ordinal_position,refclassid,refobjid,tmplname,umuser}","{abbrev,active,aggfinalextra,aggmtransfn,amopfamily,amopsortfamily,amtype,attbyval,attmissingval,attribute_udt_name,autovacuum_count,buffers_alloc,castsource,cfgparser,client_hostname,collname,condefault,confl_snapshot,conninfo,context,cycle,datminmxid,defaclrole,deptype,domain_default,enumvals,event_object_column,extcondition,failed_count,feature_id,foreign_server_version,ftoptions,granted,heap_blks_read,identity_increment,indclass,indisreplident,inhparent,is_called,is_insertable_into,is_supported,ispopulated,lanvalidator,last_autovacuum,latest_end_lsn,lomacl,max_dead_tuples,mode,n_live_tup,nspowner,opcmethod,opfnamespace,oprnamespace,ordering_routine_name,partattrs,permissive,polwithcheck,probin,pronargdefaults,provolatile,prsstart,query,relacl,relhassubclass,reloptions,reltype,result_cast_char_set_name,result_cast_numeric_precision,rngsubopc,rolconnlimit,rolinherit,rolvaliduntil,routine_schema,self_referencing_column_name,seqrelid,setrole,slot_type,sql_data_access,srsubid,srvowner,stakind3,staop4,stats_reset,stxname,subdbid,supported_value,tgattr,tgnargs,tidx_blks_read,to_sql_specific_catalog,transactionid,trigger_schema,typbasetype,typelem,typnotnull,umoptions,usecreatedb,usesuper,valuntil,viewowner,xact_start}",NULL,NULL,NULL,-0.388825,0,"{0.0348259,0.0344432,0.0344432,0.0344432,0.0344432,0.0344432,0.0317643,0.0145427,0.0145427,0.0110984,0.00803674,0.00765404,0.00727134,0.00650593,0.00650593,0.00650593,0.00459242,0.00459242,0.00459242,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00420972,0.00382702,0.00344432,0.00344432,0.00344432,0.00344432,0.00344432,0.00344432,0.00344432,0.00344432,0.00344432,0.00344432,0.00344432,0.00306161,0.00306161,0.00306161,0.00306161,0.00306161,0.00306161,0.00306161,0.00306161,0.00306161,0.00306161,0.00267891,0.00267891,0.00267891,0.00267891,0.00267891,0.00267891,0.00267891,0.00267891,0.00267891,0.00267891,0.00229621,0.00229621,0.00229621,0.00229621,0.00229621,0.00229621,0.00229621,0.00229621,0.00229621,0.00229621,0.00229621,0.00229621,0.00229621,0.00229621,0.00229621,0.00229621,0.00191351,0.00191351,0.00191351,0.00191351,0.00191351,0.00191351,0.00191351,0.00191351,0.00191351,0.00191351,0.00191351,0.00191351,0.00191351,0.00153081,0.00153081,0.00153081,0.00153081,0.00153081,0.00153081,0.00153081,0.00153081,0.00153081,0.00153081,0.00153081,0.00153081,0.00153081,0.00153081}",NULL,{-0.0210082},NULL,NULL
1249,607,609,609,0,0,1,2,3,0,0,4,3,false,"{26,12825,28,29,20,19,12823,16,25,23,27,12820,12832,18,24,1184,2275,21,1009,17,1034,3220,194,700,1028,2277,701,1021,30,22,1186,1043,12830,702,869,1002,1003,1005}","{2206,2211,3361,3402}",NULL,NULL,NULL,42,0,"{0.199388,0.156525,0.0730961,0.0688863,0.0623804,0.0535783,0.0463069,0.0440107,0.0417145,0.0405664,0.0344432,0.0298507,0.0191351,0.0153081,0.0133946,0.0126292,0.0126292,0.0110984,0.010333,0.00803674,0.00535783,0.00535783,0.00497512,0.00382702,0.00344432,0.00344432,0.00306161,0.00306161,0.00229621,0.00191351,0.00191351,0.00153081,0.00114811,0.000765404,0.000765404,0.000765404,0.000765404,0.000765404}",NULL,{0.542377},NULL,NULL
1249,96,97,0,0,0,1,3,0,0,0,4,4,false,"{-1,0}",NULL,NULL,NULL,NULL,2,0,"{0.778416,0.221584}",{0.401676},NULL,NULL,NULL
1249,94,95,0,0,0,1,3,0,0,0,2,5,false,"{4,-1,8,1,64,6,-2,2,16}",NULL,NULL,NULL,NULL,9,0,"{0.430157,0.312285,0.0845771,0.0593188,0.0535783,0.0344432,0.0126292,0.0110984,0.00191351}",{-0.0369786},NULL,NULL,NULL
1249,94,95,95,0,0,1,2,3,0,0,2,6,false,"{1,2,3,4,5,6,7,-7,-6,-5,-4,-3,-1,8,9,10,11,-2,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44}","{45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82}",NULL,NULL,NULL,89,0,"{0.132032,0.106008,0.0853425,0.0665901,0.0554918,0.047455,0.0420972,0.0344432,0.0344432,0.0344432,0.0344432,0.0344432,0.0344432,0.0302334,0.0206659,0.017987,0.0164562,0.0149254,0.0126292,0.0114811,0.0107157,0.00956755,0.00918484,0.00918484,0.00803674,0.00803674,0.00727134,0.00650593,0.00650593,0.00497512,0.00497512,0.00459242,0.00420972,0.00382702,0.00344432,0.00306161,0.00229621,0.00191351,0.00153081,0.00114811,0.000765404,0.000765404,0.000765404,0.000765404,0.000765404,0.000765404,0.000765404,0.000765404,0.000765404,0.000765404,0.000765404}",NULL,{0.289569},NULL,NULL
1249,96,97,0,0,0,1,3,0,0,0,4,7,false,"{0,1}",NULL,NULL,NULL,NULL,2,0,"{0.978569,0.0214313}",{0.908032},NULL,NULL,NULL
1249,96,97,0,0,0,1,3,0,0,0,4,8,false,{-1},NULL,NULL,NULL,NULL,1,0,{1},{1},NULL,NULL,NULL
1249,96,97,0,0,0,1,3,0,0,0,4,9,false,"{-1,104}",NULL,NULL,NULL,NULL,2,0,"{0.998469,0.00153081}",{0.9961},NULL,NULL,NULL
1249,91,58,0,0,0,1,3,0,0,0,1,10,false,"{t,f}",NULL,NULL,NULL,NULL,2,0,"{0.585151,0.414849}",{0.0977234},NULL,NULL,NULL
1249,92,631,0,0,0,1,3,0,0,0,1,11,false,"{p,x,m}",NULL,NULL,NULL,NULL,3,0,"{0.699196,0.300038,0.000765404}",{0.89083},NULL,NULL,NULL
1249,92,631,0,0,0,1,3,0,0,0,1,12,false,"{i,c,d,s}",NULL,NULL,NULL,NULL,4,0,"{0.738997,0.125526,0.0899349,0.0455415}",{0.612571},NULL,NULL,NULL
1249,91,58,0,0,0,1,3,0,0,0,1,13,false,"{f,t}",NULL,NULL,NULL,NULL,2,0,"{0.605817,0.394183}",{-0.197772},NULL,NULL,NULL
1249,91,58,0,0,0,1,3,0,0,0,1,14,false,{f},NULL,NULL,NULL,NULL,2,0,{0.999617},{0.999788},NULL,NULL,NULL
1249,91,58,0,0,0,1,3,0,0,0,1,15,false,{f},NULL,NULL,NULL,NULL,1,0,{1},{1},NULL,NULL,NULL
1249,92,631,0,0,0,1,3,0,0,0,1,16,false,"{""""}",NULL,NULL,NULL,NULL,1,0,{1},{1},NULL,NULL,NULL
