collname,collctype,collowner,collcollate,collversion,collencoding,collprovider,collnamespace
en-PW-x-icu,en-PW,10,en-PW,153.88,-1,i,11
en-RW-x-icu,en-RW,10,en-RW,153.88,-1,i,11
en-SB-x-icu,en-SB,10,en-SB,153.88,-1,i,11
en-SC-x-icu,en-SC,10,en-SC,153.88,-1,i,11
en-SD-x-icu,en-SD,10,en-SD,153.88,-1,i,11
en-SE-x-icu,en-SE,10,en-SE,153.88,-1,i,11
en-SG-x-icu,en-SG,10,en-SG,153.88,-1,i,11
en-SH-x-icu,en-SH,10,en-SH,153.88,-1,i,11
en-SI-x-icu,en-SI,10,en-SI,153.88,-1,i,11
en-SL-x-icu,en-SL,10,en-SL,153.88,-1,i,11
en-SS-x-icu,en-SS,10,en-SS,153.88,-1,i,11
en-SX-x-icu,en-SX,10,en-SX,153.88,-1,i,11
en-SZ-x-icu,en-SZ,10,en-SZ,153.88,-1,i,11
en-TC-x-icu,en-TC,10,en-TC,153.88,-1,i,11
en-TK-x-icu,en-TK,10,en-TK,153.88,-1,i,11
en-TO-x-icu,en-TO,10,en-TO,153.88,-1,i,11
en-TT-x-icu,en-TT,10,en-TT,153.88,-1,i,11
en-TV-x-icu,en-TV,10,en-TV,153.88,-1,i,11
en-TZ-x-icu,en-TZ,10,en-TZ,153.88,-1,i,11
en-UG-x-icu,en-UG,10,en-UG,153.88,-1,i,11
en-UM-x-icu,en-UM,10,en-UM,153.88,-1,i,11
en-US-u-va-posix-x-icu,en-US-u-va-posix,10,en-US-u-va-posix,153.88.34,-1,i,11
en-US-x-icu,en-US,10,en-US,153.88,-1,i,11
en-VC-x-icu,en-VC,10,en-VC,153.88,-1,i,11
en-VG-x-icu,en-VG,10,en-VG,153.88,-1,i,11
en-VI-x-icu,en-VI,10,en-VI,153.88,-1,i,11
en-VU-x-icu,en-VU,10,en-VU,153.88,-1,i,11
